name,inward_label,outward_label,total_count,inward_direction_count,outward_direction_count,num_repositories,repositories
Duplicate,is duplicated by,duplicates,542670,271301,271369,14,Apache;Hyperledger;IntelDAOS;JFrog;Jira;JiraEcosystem;MariaDB;Mindville;Mojang;MongoDB;Qt;RedHat;Sonatype;Spring
Reference,is related to,relates to,271324,135737,135587,2,Apache;Jira
Relates,relates to,relates to,80480,40241,40239,6,Hyperledger;IntelDAOS;MariaDB;Mindville;Mojang;Qt
Related,is related to,relates to,72249,36090,36159,3,Apache;Jira;RedHat
Related,is related to,related to,51991,25995,25996,1,MongoDB
Blocks,is blocked by,blocks,46622,23483,23139,8,Hyperledger;IntelDAOS;JiraEcosystem;MariaDB;Mindville;Mojang;Qt;RedHat
Cloners,is cloned by,clones,37867,18939,18928,8,Hyperledger;IntelDAOS;JFrog;Mindville;Mojang;MongoDB;Qt;RedHat
Blocker,is blocked by,blocks,33830,16949,16881,3,Apache;Jira;JiraEcosystem
Depends,is depended on by,depends on,29643,14822,14821,4,JiraEcosystem;MongoDB;SecondLife;Spring
dependent,is depended upon by,depends upon,26368,13167,13201,1,Apache
Superset,is incorporated by,incorporates,22408,11185,11223,1,RedHat
1 - Relate,is related to,relates to,19820,9910,9910,1,Sakai
Relate,is related to,relates to,17534,8760,8774,3,Jira;JiraEcosystem;Spring
Incorporates,is part of,incorporates,14679,7339,7340,1,Apache
Dependency,is required for,depends on,12754,6377,6377,1,Qt
Sequence,is followed up by,follows up on,10594,5291,5303,1,RedHat
Problem/Incident,is caused by,causes,10272,5135,5137,3,Apache;MariaDB;MongoDB
Cloners,is cloned by,is a clone of,8979,4489,4490,1,Apache
Regression,is broken by,breaks,8832,4416,4416,1,Apache
Container,Is contained by,contains,7534,3767,3767,1,Apache
Required,is required by,requires,7458,3721,3737,1,Apache
Supercedes,is superceded by,supercedes,7130,3565,3565,2,Apache;Sonatype
Causality,is caused by,causes,6545,3278,3267,1,RedHat
Cloners,was cloned as,is cloned from,6134,3061,3073,1,Jira
Part,is incorporated by,incorporates,5560,2781,2779,2,Jira;JiraEcosystem
Detail,is detailed by,details,5460,1896,3564,1,Jira
Work Breakdown,resulted from,resulted in,5404,2702,2702,1,Qt
5 - Depend,depends on,is depended on by,5280,2640,2640,1,Sakai
Replacement,replaces,is replaced by,5242,2621,2621,1,Qt
Child-Issue,is a child of,is a parent of,5210,2605,2605,1,Apache
3 - Duplicate,is duplicated by,duplicates,3806,1903,1903,1,Sakai
Cause,causes,is caused by,3739,1868,1871,1,Jira
Documented,is documented by,documents,3674,1837,1837,1,MongoDB
Relates,is related to,relates,3606,1803,1803,1,Sonatype
Cloners (old),cloned from,cloned to,3527,1718,1809,1,RedHat
4 - Incorporate,is incorporated by,incorporates,2796,1398,1398,1,Sakai
Blocked,Blocked,Blocked,2558,1279,1279,1,Apache
Depend,is depended on by,depends on,2551,1276,1275,1,Spring
PartOf,is part of,includes,2364,1182,1182,1,MariaDB
Issue split,split from,split to,2238,1117,1121,9,Apache;Hyperledger;Jira;JiraEcosystem;MariaDB;MongoDB;Qt;RedHat;Sonatype
Related,is related to,is related to ,2080,1040,1040,1,IntelDAOS
Related,is related to,is related to,2050,1023,1027,1,Spring
Completes,is fixed by,fixes,2004,1002,1002,1,Apache
2 - Cloned,cloned from,cloned as,1980,990,990,1,Sakai
Relationship,is related to,relates to,1822,911,911,1,JFrog
Documentation,is documented by,documents,1359,679,680,1,RedHat
Gantt Dependency,has to be done after,has to be done before,1354,677,677,1,MongoDB
Blocker,is blocked by,is blocking,1348,674,674,1,IntelDAOS
Bonfire Testing,discovered while testing,testing discovered,1292,646,646,2,Mojang;Sonatype
Derived,has a derivative of,derived from,1114,555,559,1,Jira
Supersession,supersedes,is superseded by,1023,510,513,1,Jira
Supersede,is superseded by,supersedes,981,490,491,1,Spring
Cause,is caused by,causes,900,450,450,1,JiraEcosystem
Dependent,Dependent,Dependent,812,406,406,1,Apache
Regression,has a regression in,is a regression of,798,399,399,1,Jira
Split,was split into,was split from,607,303,304,2,Jira;JiraEcosystem
Bonfire Testing,Testing discovered,Discovered while testing,572,285,287,2,Jira;JiraEcosystem
multi-level hierarchy [GANTT],is subtask of,is parent task of,570,285,285,1,RedHat
Dependency,is a precondition for,depends on,520,260,260,1,JFrog
Caused,is caused by,causes,482,241,241,1,Sonatype
Trigger,was triggered by,triggered,410,205,205,1,JFrog
Relates,related,related,410,205,205,1,SecondLife
Cloners,cloned by,clones,408,204,204,1,JiraEcosystem
Backports,backports,backported by,375,187,188,1,MongoDB
Cloners (migrated),is cloned by,Clones,372,186,186,1,IntelDAOS
finish-start [GANTT],has to be done after,has to be done before,372,186,186,1,RedHat
Account,account is impacted by,impacts account,368,184,184,1,RedHat
dependent,is depended on by,depends on,338,169,169,1,Sonatype
Depends,depended on by,depends on,335,168,167,1,Jira
Reference,is referenced by,references,300,150,150,1,JiraEcosystem
Parent Feature,Parent Feature,Parent Feature,288,144,144,1,Apache
Dependency,Dependency,Dependency,236,118,118,1,Apache
Gantt End to Start,has to be done after,has to be done before,220,110,110,2,IntelDAOS;JFrog
Fixes,fixed by,fixes,218,109,109,1,Sonatype
